TransactionId,Voucher,Amount (Original),Amount (Base USD),Amount (Base),Currency (Original),Account Code,HFM Account,Journal Type,Journal Desc,Customer or Supplier,Transaction Date,Transaction Entered By,Transaction Entered Date,Transaction Updated By,Transaction Updated Date,COY_ID,Entity Name,Vessel AUX,Reference,Updated in ODP,Transaction Open,Transaction Text
VGR731506230,259423V7,-1,-0.77,-1,SGD,1244230,BS32900,SI,Sales Invoice,V.Ships Asia Group Pte Ltd.,25-08-2025,Savita Gaikwad,37:53.0,Savita Gaikwad,37:53.0,,,,,03:48.5,Yes,GST @ 0%
VGR731506235,259423V7,95.9,74.29,95.9,SGD,1200000,BS20101,SI,Sales Invoice,,25-08-2025,Savita Gaikwad,37:53.0,Savita Gaikwad,37:53.0,,,,VSA-2025-42828,03:48.5,Yes,Expenses August 2025 
VGR731506236,259424V7,12908,10000,12908,USD,1200000,BS20101,SI,Sales Invoice,,25-08-2025,Savita Gaikwad,37:53.0,Savita Gaikwad,37:53.0,,,,VSA-2025-42829,03:48.5,Yes,TERMINATION FEES
VGR731506237,259425V7,15489.6,12000,15489.6,USD,1200000,BS20101,SI,Sales Invoice,,25-08-2025,Savita Gaikwad,37:53.0,Savita Gaikwad,37:53.0,,,,VSA-2025-42830,03:48.5,Yes,Additional Supt visit Charges billed as per SMA for the Month of July 2025
VGR731536344,259527V7,-1544.48,-1196.53,-1544.48,SGD,3209500,BS41670,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,17:52.1,rehman shaikh,28:09.9,,,,P08-IFRS 16,03:48.5,Yes,dilapidation provision VSA-5 (As per jennifer)
VGR731536354,259527V7,-603.84,-467.8,-603.84,SGD,3209500,BS41670,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,17:52.1,rehman shaikh,28:09.9,,,,P08-IFRS 16,03:48.5,Yes,VSA_4 Interest charge for Reinstatement P08
VGR731536362,259527V7,-331.3,-256.66,-331.3,SGD,3209002,BS41664,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,17:52.1,rehman shaikh,28:09.9,,,,P08-IFRS 16,03:48.5,Yes,VSA_7 Int Exp P08 (Lease Liab)
VGR731559919,259382V7,51.5,39.9,51.5,SGD,5100400,IS323110,MI,Purchase Invoice,Staff Balvinder Singh Dhillon,26-08-2025,Amol Kunkerkar,50:58.8,girisha shirke,57:36.7,,,,EXPENSES-AUGUST'25,03:48.5,Yes,Balvinder Singh Dhillon-TAXI EXPENSES
VGR731559929,ZD531846,1055.58,817.77,1055.58,USD,5100400,IS323110,MI,Purchase Invoice,Global Marine Travel,19-08-2025,Amol Kunkerkar,52:34.6,Amol Kunkerkar,52:34.7,,,,3244494,03:48.5,Yes,AMD SIN:MORETTI/MARIO MR(ADT)
VGR731559930,ZD530966,724.28,561.11,724.28,USD,5100400,IS323110,MI,Purchase Invoice,Global Marine Travel,19-08-2025,Amol Kunkerkar,52:34.6,Amol Kunkerkar,52:34.6,,,,3244159,03:48.5,Yes,BOM SIN BOM:SAWANT/AVINASH RAOU MR
VGR731559931,ZD529969,365.36,283.05,365.36,USD,5100400,IS323110,MI,Purchase Invoice,Global Marine Travel,19-08-2025,Amol Kunkerkar,52:34.6,Amol Kunkerkar,52:34.6,,,,3243784,03:48.5,Yes,BOM BHJ IXY BOM:MORETTI/MARIO MR
VGR731559935,ZD518195,609.26,472,609.26,USD,5100400,IS323110,MI,Purchase Invoice,Global Marine Travel,15-08-2025,Amol Kunkerkar,52:55.5,Amol Kunkerkar,52:55.5,,,,3241387,03:48.5,Yes,SIN MNL SIN:MORETTI/MARIO MR(ADT)
VGR731559937,ZD507311,375.62,291,375.62,USD,5100400,IS323110,MI,Purchase Invoice,Global Marine Travel,14-08-2025,Amol Kunkerkar,53:24.4,Amol Kunkerkar,53:24.4,,,,3240485,03:48.5,Yes,COURTYARD:MORETTI/MARIO MR
VGR731573798,259438V7,46310.49,35877.36,46310.49,USD,1210000,BS26100,SI,Sales Invoice,,28-08-2025,Savita Gaikwad,02:05.2,Savita Gaikwad,02:05.2,VSERGSM0277,BMPL - Belships Management (Singapore) Pte Ltd,,VSA-2025-42831,03:48.5,Yes,MANAGEMENT SERVICES - AUGUST 2025
VGR731578023,259454V7,1.95,0,1.95,USD,5940000,IS431000,SI,Sales Invoice,V.Ships Asia Group Pte Ltd.,28-08-2025,Savita Gaikwad,12:48.1,Savita Gaikwad,12:48.1,VSERGSM0176,VSSL V.Ships (Shanghai) LTD,,,03:48.5,Yes,Exchange Difference
VGR731578027,259455V7,-1.87,0,-1.87,USD,5940000,IS431000,SI,Sales Invoice,V.Ships Asia Group Pte Ltd.,28-08-2025,Savita Gaikwad,12:48.1,Savita Gaikwad,12:48.1,VSERGSM0176,VSSL V.Ships (Shanghai) LTD,,,03:48.5,Yes,Exchange Difference
VGR731578028,259439V7,32737.42,25362.12,32737.42,USD,1210000,BS26100,SI,Sales Invoice,,28-08-2025,Savita Gaikwad,12:48.2,Savita Gaikwad,12:48.2,VSERGSM0189,BSIN V.SHIPS OFFSHORE (ASIA) PTE. LTD.,,VSA-2025-42832,03:48.5,Yes,MANAGEMENT SERVICES -  AUGUST 2025
VGR731578029,259440V7,22822.64,17681,22822.64,USD,1210000,BS26100,SI,Sales Invoice,,28-08-2025,Savita Gaikwad,12:48.2,Savita Gaikwad,12:48.2,VSERGSM0047,GLW - V.Ships UK Ltd ,,VSA-2025-42833,03:48.5,Yes,MANAGEMENT SERVICES -   AUGUST 2025
VGR731578030,259441V7,18348.54,14214.86,18348.54,USD,1210000,BS26100,SI,Sales Invoice,,28-08-2025,Savita Gaikwad,12:48.2,Savita Gaikwad,12:48.2,VSERGSE0072,GMFL - Global Marine Travel LLC,,VSA-2025-42834,03:48.5,Yes,MANAGEMENT SERVICES -  AUGUST 2025
VGR731578031,259442V7,32018.02,24804.79,32018.02,USD,1210000,BS26100,SI,Sales Invoice,,28-08-2025,Savita Gaikwad,12:48.2,Savita Gaikwad,12:48.2,VSERGSE0075,MTS - MSD Management (NEW),,VSA-2025-42835,03:48.5,Yes,MANAGEMENT SERVICES -   AUGUST 2025
VGR731578032,259443V7,8224.83,6371.89,8224.83,USD,1210000,BS26100,SI,Sales Invoice,,28-08-2025,Savita Gaikwad,12:48.2,Savita Gaikwad,12:48.2,VSERGSM0159,SSCM SHIP SUPPLY CHAIN MANAGEMENT BRANCH,,VSA-2025-42836,03:48.5,Yes,MANAGEMENT SERVICES -  AUGUST 2025
